Date,PM10,SO2,CO,O3,NO2,Max,Critical Component,Category
5/14/2020,17,1,20,15,0,20,CO,Good
5/15/2020,21,1,19,4,0,21,PM10,Good
5/16/2020,15,1,15,4,0,15,"CO, PM10",Good
5/17/2020,17,1,14,3,0,17,PM10,Good
5/18/2020,21,1,27,0,0,27,CO,Good
5/19/2020,16,2,42,11,0,42,CO,Good
5/20/2020,10,2,14,0,0,14,CO,Good
5/21/2020,22,1,36,0,0,36,CO,Good
5/22/2020,14,1,33,14,0,33,CO,Good
5/23/2020,30,1,42,14,0,42,CO,Good
5/24/2020,28,1,22,0,0,28,PM10,Good
5/25/2020,20,1,23,0,0,23,CO,Good
5/26/2020,10,1,14,0,0,14,CO,Good
5/27/2020,7,1,14,0,0,14,CO,Good
5/28/2020,13,1,18,0,0,18,CO,Good
5/29/2020,10,1,24,10,0,24,CO,Good
5/30/2020,17,1,28,8,0,28,CO,Good
5/31/2020,10,1,20,0,0,20,CO,Good
6/1/2020,14,1,30,0,0,30,CO,Good
6/2/2020,29,1,52,10,0,52,CO,Moderate
6/3/2020,40,1,46,12,0,46,CO,Good
6/4/2020,34,1,36,9,0,36,CO,Good
6/5/2020,16,1,23,0,0,23,CO,Good
6/6/2020,17,1,30,6,0,30,CO,Good
6/7/2020,12,1,14,0,0,14,CO,Good
6/8/2020,11,1,21,0,0,21,CO,Good
6/9/2020,17,1,23,7,0,23,CO,Good
6/10/2020,17,1,36,6,0,36,CO,Good
6/11/2020,21,2,23,8,0,23,CO,Good
6/12/2020,18,2,22,0,0,22,CO,Good
6/13/2020,20,1,25,8,0,25,CO,Good
6/14/2020,18,1,40,7,0,40,CO,Good
6/15/2020,22,1,35,12,0,35,CO,Good
6/16/2020,25,1,50,12,0,50,CO,Good
6/17/2020,23,1,25,15,0,25,CO,Good
6/18/2020,24,1,20,0,0,24,PM10,Good
6/19/2020,18,1,24,5,0,24,CO,Good
6/20/2020,18,1,20,10,0,20,CO,Good
6/21/2020,19,1,22,3,0,22,CO,Good
6/22/2020,19,1,23,0,0,23,CO,Good
6/23/2020,17,1,26,0,0,26,CO,Good
6/24/2020,9,1,17,8,0,17,CO,Good
6/25/2020,23,1,40,13,0,40,CO,Good
6/26/2020,18,1,24,7,0,24,CO,Good
6/27/2020,23,1,28,7,0,28,CO,Good
6/28/2020,25,1,28,9,0,28,CO,Good
6/29/2020,26,1,24,11,0,26,PM10,Good
6/30/2020,18,1,30,9,0,30,CO,Good
7/1/2020,14,1,21,6,0,21,CO,Good
7/2/2020,21,1,33,6,0,33,CO,Good
7/3/2020,21,1,27,10,0,27,CO,Good
7/4/2020,19,1,23,11,0,23,CO,Good
7/5/2020,35,1,56,15,0,56,CO,Moderate
7/6/2020,25,1,26,10,0,26,CO,Good
7/7/2020,20,0,28,10,0,28,CO,Good
7/8/2020,20,1,36,10,0,36,CO,Good
7/9/2020,31,1,17,6,0,31,PM10,Good
7/10/2020,14,1,16,11,0,16,CO,Good
