Year;Province;Mobil Penumpang;Bus;Truk;Sepeda Motor;Jumlah
2018;Kepulauan Riau;127057;1992;25081;771041;925171
2018;DKI Jakarta;3082616;33419;631156;15037359;18784550
2018;Jawa Barat;3534784;19443;360243;10899031;14813501
2018;Jawa Tengah;1290630;32435;545491;15069428;16937984
2018;DI Yogyakarta;344084;3386;56549;2321234;2725253
2018;Jawa Timur;1759758;33255;696708;18016051;20505772
2018;Banten;209212;3254;70098;1991810;2274374
2018;Bali;435965;9163;145927;3540179;4131234
2018;Nusa Tenggara Barat;92383;2532;67876;1507783;1670574
2018;Nusa Tenggara Timur;55653;3608;43383;729159;831803
2018;Kalimantan Barat;129570;1506;88790;2172674;2392540
2018;Kalimantan Tengah;81390;1362;60218;1115875;1258845
2018;Kalimantan Selatan;204026;2727;127035;2096012;2429800
2018;Kalimantan Timur;246027;5666;170876;2432491;2855060
2018;Kalimantan Utara;18195;241;13722;282621;314779
2018;Sulawesi Utara;107540;1306;60195;683148;852189
2018;Sulawesi Tengah;79646;896;45369;974838;1100749
2018;Sulawesi Selatan;468127;3481;171787;3228969;3872364
2018;Sulawesi Tenggara;172099;425;31501;619640;823665
2018;Gorontalo;30660;318;22767;332702;386447
2018;Sulawesi Barat;17184;25;10070;284946;312225
2018;Maluku;22029;426;12185;239995;274635
2018;Maluku Utara;17415;105;10456;218231;246207
2018;Papua Barat;33043;313;15507;262442;311305
2018;Papua;30826;819;23099;365217;419961
2018;Indonesia;14838106;223011;4804178;106836985;126702280
